iter	RMSE
217	0.8539082281
218	0.8529114059
219	0.8519153359
220	0.8501066123
221	0.8484483095
222	0.8468260311
223	0.8453682493
224	0.8444305846
225	0.8433592778
226	0.842139523
227	0.8406874753
228	0.83924479
229	0.8382189784
230	0.836864693
231	0.83530887
232	0.8338695288
233	0.8330728964
234	0.8317504195
235	0.8303015587
236	0.8283610783
237	0.827096404
238	0.8259249417
239	0.8242312338
240	0.8231471612
241	0.8219285599
242	0.8204113621
243	0.8191843909
244	0.8178393871
245	0.8167127643
246	0.8154483365
247	0.8145022991
248	0.8136317395
249	0.8121741331
250	0.8112692214
251	0.8099327416
252	0.8089394645
253	0.8077668664
254	0.8064578953
255	0.8051485701
256	0.8038037483
257	0.8025419584
258	0.8013972656
259	0.8006096375
260	0.7995228604
261	0.7985035405
262	0.7974639577
263	0.796092826
264	0.794098521
265	0.793225255
266	0.7923599506
267	0.7912754162
268	0.7902214881
269	0.7896167804
270	0.7885761006
271	0.787339481
272	0.7865994215
273	0.7854322506
274	0.7842026764
275	0.7831432783
276	0.7820914406
277	0.780990671
278	0.780262643
279	0.7794767483
280	0.7786041053
281	0.7776924772
282	0.7765197223
283	0.7754967234
284	0.7735319894
285	0.7719655125
286	0.7707766904
287	0.7697298666
288	0.7688182188
289	0.7677750493
290	0.7666295546
291	0.7652190865
292	0.7642492469
293	0.7631909653
294	0.7623815363
295	0.7612281667
296	0.7601590315
297	0.7592135972
298	0.7584261449
299	0.7575598659
300	0.7562550115
301	0.7553702158
302	0.754503322
303	0.7537103651
304	0.753085058
305	0.751925557
306	0.750891508
307	0.7502240731
308	0.7493467348
309	0.7483993575
310	0.7476155505
311	0.7467367787
312	0.7459857963
313	0.7450251357
314	0.7441269834
315	0.7430950413
316	0.7424159875
317	0.7417546296
318	0.7408400661
319	0.7398375761
320	0.738764598
321	0.738179732
322	0.7375034985
323	0.737000296
324	0.736124948
325	0.7353375662
326	0.7345625293
327	0.7333162188
328	0.7322419994
329	0.7315871813
330	0.730668958
331	0.7298364113
332	0.7288575254
333	0.7280042825
334	0.7271910787
335	0.7265277693
336	0.7260165078
337	0.7255226733
338	0.7241788992
339	0.7234950278
340	0.7227481278
341	0.7219550492
342	0.7206731074
343	0.7200380225
344	0.7194466115
345	0.7185791515
346	0.7177354651
347	0.7166406342
348	0.7160772262
349	0.7149959142
350	0.7140687557
351	0.7135844096
352	0.712653824
353	0.7119914507
354	0.7107068172
355	0.7100455754
356	0.7093269492
357	0.7080621739
358	0.707164571
359	0.7064663142
360	0.7058313893
361	0.7052360232
362	0.7043781374
363	0.703515432
364	0.7027287436
365	0.7018627151
366	0.701198566
367	0.7004756107
368	0.6997921019
369	0.6990010574
370	0.6982429226
371	0.6974245194
372	0.6966691352
373	0.6960571041
374	0.6951410179
375	0.6943873724
376	0.6935039105
377	0.6928048984
378	0.6922171836
379	0.6916484877
380	0.690938831
381	0.6901713711
382	0.6895353539
383	0.6891236415
384	0.6881534237
385	0.6873861893
386	0.6868175863
387	0.6860091741
388	0.6852200746
389	0.6844653482
390	0.6834766757
391	0.6828189197
392	0.6820198744
393	0.6809181931
394	0.6800455213
395	0.6793072995
396	0.6787532997
397	0.6779660862
398	0.6772216507
399	0.6766284153
400	0.6760583783
401	0.6753435304
402	0.6747552948
403	0.6741815175
404	0.6735288048
405	0.6726296035
406	0.6718516224
407	0.6709674327
408	0.6703976274
409	0.6693270671
410	0.6685375678
411	0.6679859238
412	0.6674382536
413	0.6668015169
414	0.6661980982
415	0.6656649957
416	0.6649700877
417	0.6642267097
418	0.6635808102
419	0.6630798096
420	0.6624314797
421	0.6617269589
422	0.6611208443
423	0.6606783646
424	0.6601346264
425	0.6595413369
426	0.6590887186
427	0.6585160604
428	0.6579254711
429	0.6573352677
430	0.6569835808
431	0.656552325
432	0.655970348
433	0.6554751729
434	0.6548500128
435	0.6543331658
436	0.6538614152
437	0.65349018
438	0.6529263908
439	0.6522927122
440	0.6516341518
441	0.6512570023
442	0.6507523755
443	0.6500298002
444	0.6494452942
445	0.6487570425
446	0.6481120595
447	0.6474474004
448	0.6469352421
449	0.646430484
450	0.6460046771
451	0.6453879947
452	0.6446514629
453	0.6436716749
454	0.6430874063
455	0.6423363507
456	0.6417693075
457	0.6412601743
458	0.6407365745
459	0.6401808872
460	0.6398161768
461	0.6393107249
462	0.6387797532
463	0.6382418395
464	0.6378390726
465	0.6374818378
466	0.6369557164
467	0.6363937984
468	0.6359297905
469	0.6353030874
470	0.6348800358
471	0.6343767278
472	0.6338302237
473	0.6334459649
474	0.6329153399
475	0.6323934456
476	0.6319620152
477	0.6313011781
478	0.630872741
479	0.629921621
480	0.6293891142
481	0.6290305879
482	0.6284392034
483	0.6278841483
484	0.6271532636
485	0.6266997269
486	0.626019655
487	0.6255823103
488	0.6250603122
489	0.6244113922
490	0.6234100237
491	0.6228388058
492	0.6224730427
493	0.6220069862
494	0.621575526
495	0.6206787926
496	0.6202791821
497	0.6196778775
498	0.6192652817
499	0.6182657276
500	0.6173277914
501	0.616896516
502	0.616627943
503	0.6162218707
504	0.6158459892
505	0.6151643491
506	0.6147207206
507	0.6143732844
508	0.6138885915
509	0.6134784571
510	0.613050668
511	0.6125968925
512	0.6120354496
513	0.611446527
514	0.6106689665
515	0.6103242492
516	0.6098590061
517	0.6093787979
518	0.6089695269
519	0.6086899993
520	0.6083135682
521	0.6078004597
522	0.6073956708
523	0.6069884557
524	0.6065318786
525	0.6058982027
526	0.6055748679
527	0.6051774822
528	0.6046840608
529	0.6041852968
530	0.603860331
531	0.6033519822
532	0.6030128824
533	0.6025660729
534	0.6021315878
535	0.6017126378
536	0.6012406584
537	0.6008316367
538	0.6001735104
539	0.5997037159
540	0.5992151932
541	0.5987960537
542	0.5981560081
543	0.5976761212
544	0.5972476446
545	0.5969358244
546	0.5961713875
547	0.5956769386
548	0.5951952766
549	0.5948471976
550	0.5944612912
551	0.5938903921
552	0.5935962076
553	0.5930396651
554	0.5925229988
555	0.5920616954
556	0.591466091
557	0.5910449935
558	0.5906997023
559	0.5901668675
560	0.5897561103
561	0.5893745766
562	0.5890976116
563	0.5886569209
564	0.5882534152
565	0.5877333031
566	0.5873494391
567	0.58685738
568	0.586390302
569	0.5857963406
570	0.5853780353
571	0.5848884558
572	0.5844944812
573	0.5840862195
574	0.5837714526
575	0.5833858142
576	0.583143649
577	0.5827388262
578	0.5822266225
579	0.5818745506
580	0.5814650443
581	0.581049886
582	0.5807256822
583	0.58047584
584	0.5800812541
585	0.5795760296
586	0.5789480367
587	0.5785191523
588	0.5782386543
589	0.5779070953
590	0.5775373522
591	0.5771764122
592	0.5769376642
593	0.5765131428
594	0.5761545553
595	0.5756456715
596	0.5751647399
597	0.5747846493
598	0.5744874147
599	0.5740852998
600	0.5737135215
601	0.573391709
602	0.5730859194
603	0.5724465108
604	0.5721395701
605	0.5718002781
606	0.5713295795
607	0.5707913545
608	0.5703289246
609	0.5700087221
610	0.5695255052
611	0.5691410524
612	0.5687343942
613	0.5683252051
614	0.5679831531
615	0.5676597851
616	0.5673077024
617	0.567089735
618	0.5667874831
619	0.5664695274
620	0.566043303
621	0.5655976108
622	0.5653090878
623	0.5650014559
624	0.5646314765
625	0.5641686626
626	0.5637325265
627	0.5634031398
628	0.5630654584
629	0.5627191328
630	0.5625440092
631	0.5622721062
632	0.5619548054
633	0.5615205983
634	0.5611581812
635	0.5606306221
636	0.5603615204
637	0.5599852415
638	0.5594857219
639	0.5590124077
640	0.5583805366
641	0.5579443814
642	0.5575572459
643	0.5571972919
644	0.5569384058
645	0.5566066312
646	0.5562697301
647	0.5560347317
648	0.5556625529
649	0.5553588326
650	0.5550743013
651	0.5546244384
652	0.554111407
653	0.5537700699
654	0.5534428397
655	0.5529040323
656	0.5525231897
657	0.5520275335
658	0.551640519
659	0.5513143886
660	0.5508994201
661	0.5505953621
662	0.5502827952
663	0.5499296025
664	0.5495352064
665	0.5492927768
666	0.5490216851
667	0.54871253
668	0.5484280222
669	0.5481494285
670	0.5477402943
671	0.5474320047
672	0.5471102399
673	0.5467910636
674	0.5464688667
675	0.5461717337
676	0.545788733
677	0.5454597916
678	0.5450578482
679	0.5448172104
680	0.5444000413
681	0.5440646612
682	0.5437932904
683	0.5434363226
684	0.5431611718
685	0.5429339126
686	0.5426126879
687	0.5421876215
688	0.5418022753
689	0.5414353941
690	0.5409364611
691	0.5406726745
692	0.5404279075
693	0.5401536315
694	0.5398277906
695	0.5396519155
696	0.5393282797
697	0.5389167971
698	0.5385326425
699	0.5381740177
700	0.5377952556
701	0.5374057978
702	0.5370770181
703	0.5368244005
704	0.5365167382
705	0.5362573333
706	0.5359682529
707	0.53566137
708	0.5353458901
709	0.5350317448
710	0.5346397947
711	0.5343447783
712	0.5340792052
713	0.5339036685
714	0.533596049
715	0.5332072263
716	0.5328646815
717	0.5325892888
718	0.5321659744
719	0.5318152077
720	0.5316091922
721	0.531208554
722	0.5308251785
723	0.5304874506
724	0.530250287
725	0.5299416447
726	0.5296920355
727	0.5293556733
728	0.5290706042
729	0.5287611328
730	0.5284591418
731	0.5282099352
732	0.5279691008
733	0.5276869962
734	0.5273004104
735	0.5269428288
736	0.5265601799
737	0.5263535307
738	0.5261157567
739	0.5258060674
740	0.5255123414
741	0.5252329421
742	0.5248592053
743	0.5244892929
744	0.5242031545
745	0.523933472
746	0.5236658788
747	0.5233575739
748	0.5230580123
749	0.5227456837
750	0.5224839005
751	0.5222464182
752	0.5220705716
753	0.5218029413
754	0.5215970926
755	0.5212939526
756	0.5210641748
757	0.5208355403
758	0.5204660291
759	0.5201636253
760	0.5198231649
761	0.5194901749
762	0.5192395548
763	0.5189568142
764	0.5187434072
765	0.5185427772
766	0.5182975769
767	0.5180652962
768	0.517764671
769	0.5173849543
770	0.5169240444
771	0.5166196964
772	0.5164108524
773	0.5160667635
774	0.515761965
775	0.5155722747
776	0.5152278428
777	0.515019012
778	0.5146947131
779	0.5145515995
780	0.5142221605
781	0.5139920112
782	0.5137033726
783	0.5134689858
784	0.513179446
785	0.5128682332
786	0.5125900094
787	0.5123495142
788	0.512049856
789	0.511745201
790	0.5115077105
791	0.5112087963
792	0.510927471
793	0.5107167071
794	0.5103203482
795	0.5101451639
796	0.5099758862
797	0.5096570251
798	0.5094699703
799	0.5092560372
800	0.5090318738
801	0.5087233949
802	0.5084193161
803	0.5081100061
804	0.5078517252
805	0.5076289971
806	0.5073690627
807	0.507071299
808	0.5069161133
809	0.5066814103
810	0.5063918828
811	0.5061372628
812	0.5059016207
813	0.5056837805
814	0.5054699005
815	0.5052533731
816	0.5050155285
817	0.5047622159
818	0.5044645918
819	0.5041770575
820	0.5038175622
821	0.5036088023
822	0.5031676043
823	0.5029036407
824	0.5026026245
825	0.5022847735
826	0.502060136
827	0.5018537484
828	0.5015499762
829	0.5012481003
830	0.5010059532
831	0.5007903284
832	0.5004904377
833	0.5002545959
834	0.4999304202
835	0.499669351
836	0.4995216767
837	0.4992912835
838	0.4990417976
839	0.4987813222
840	0.4985677692
841	0.498377059
842	0.4980924476
843	0.497868052
844	0.4976422212
845	0.4974136555
846	0.4972147831
847	0.4968568971
848	0.4966265556
849	0.496359109
850	0.4961029346
851	0.4958486339
852	0.4956918629
853	0.4953948164
854	0.4951583391
855	0.4949074753
856	0.4945417967
857	0.4943244054
858	0.4940099122
859	0.4936485139
860	0.4934503195
861	0.4932504999
862	0.4930208474
863	0.4926652496
864	0.4923635845
865	0.4920994313
866	0.4919005505
867	0.491632911
868	0.4914476079
869	0.4912334557
870	0.4909630246
871	0.4906626728
872	0.490476958
873	0.4903177012
874	0.4900777262
875	0.4898642305
876	0.4895211416
877	0.4893410069
878	0.4890749627
879	0.4888072695
880	0.4885618059
881	0.4882768753
882	0.4880179212
883	0.4877982348
884	0.4875530266
885	0.4872375515
886	0.4870130744
887	0.4868057138
888	0.4866485685
889	0.48650719
890	0.4863099441
891	0.4860727172
892	0.4858225607
893	0.4856556637
894	0.4854499444
895	0.4851932628
896	0.4849305654
897	0.4845804391
898	0.4843335614
899	0.4840794161
900	0.4838365977
901	0.4835709766
902	0.4833387648
903	0.4831622724
904	0.4829244994
905	0.4827012881
906	0.4825236978
907	0.4823445903
908	0.4821687721
909	0.4818646033
910	0.4816847932
911	0.4814084343
912	0.4811650847
913	0.4810643328
914	0.4808653669
915	0.4805993999
916	0.4803806531
917	0.4801377138
918	0.479940298
919	0.4797414174
920	0.4795205315
921	0.479309078
922	0.4790704079
923	0.4788756115
924	0.478675692
925	0.4784263547
926	0.4782609175
927	0.4780223675
928	0.4777746066
929	0.477591038
930	0.4773445446
931	0.4771463004
932	0.4769084406
933	0.4767162723
934	0.4763861493
935	0.4762193243
936	0.4760335512
937	0.4758362466
938	0.4756420406
939	0.4754924338
940	0.4753243947
941	0.47503869
942	0.4748043451
943	0.4745514674
944	0.4743382029
945	0.4741439302
946	0.4739087745
947	0.4737221606
948	0.4735382474
949	0.4732172919
950	0.4729757332
951	0.4727600484
952	0.4724921492
953	0.4722678323
954	0.4721062557
955	0.4719364577
956	0.4717175648
957	0.4715050474
958	0.4712578773
959	0.4710716547
960	0.4708582074
961	0.4706289872
962	0.4704447119
963	0.4702515848
964	0.4700138388
965	0.469807449
966	0.4695511417
967	0.4693201262
968	0.4690826689
969	0.468886306
970	0.4686917673
971	0.4684961511
972	0.4681523407
973	0.4679954094
974	0.4677904832
975	0.4675936945
976	0.4673569324
977	0.4671452479
978	0.4668784579
979	0.4667440226
980	0.4665050162
981	0.4663512356
982	0.4661351355
983	0.4659585292
984	0.4657663382
985	0.4655798227
986	0.4653666131
987	0.4651792862
988	0.4649843995
989	0.4647605887
990	0.4646188345
991	0.4644140536
992	0.4643006767
993	0.4641008581
994	0.4639533022
995	0.4637212537
996	0.4634804444
997	0.4631756175
998	0.4628994251
999	0.4625562194
